source,target,link_type,weight
M1,Singtel,ORGANIZATION,5
Singtel,StarHub,ORGANIZATION,4
M1,StarHub,ORGANIZATION,4
Google,iPhone Lenovo LG,ORGANIZATION,3
Google,Intel,ORGANIZATION,3
Dell,IDA,ORGANIZATION,3
Dell,Intel,ORGANIZATION,3
Dell,Microsoft,ORGANIZATION,3
Dell,Nokia,ORGANIZATION,3
Dell,iPhone Lenovo LG,ORGANIZATION,3
Google,HP,ORGANIZATION,3
Google,HTC,ORGANIZATION,3
HTC,iPhone Lenovo LG,ORGANIZATION,3
HTC,Nokia,ORGANIZATION,3
Google,IDA,ORGANIZATION,3
Google,Nokia,ORGANIZATION,3
Google,Microsoft,ORGANIZATION,3
Dell,HTC,ORGANIZATION,3
HTC,Microsoft,ORGANIZATION,3
HP,HTC,ORGANIZATION,3
HTC,Intel,ORGANIZATION,3
HTC,IDA,ORGANIZATION,3
HP,IDA,ORGANIZATION,3
HP,Intel,ORGANIZATION,3
HP,Microsoft,ORGANIZATION,3
HP,Nokia,ORGANIZATION,3
Microsoft,Nokia,ORGANIZATION,3
Dell,Google,ORGANIZATION,3
Dell,HP,ORGANIZATION,3
IDA,iPhone Lenovo LG,ORGANIZATION,3
Intel,iPhone Lenovo LG,ORGANIZATION,3
Apple,Dell,ORGANIZATION,3
Apple,Google,ORGANIZATION,3
Apple,HP,ORGANIZATION,3
Apple,HTC,ORGANIZATION,3
Intel,Nokia,ORGANIZATION,3
Intel,Microsoft,ORGANIZATION,3
Apple,IDA,ORGANIZATION,3
Apple,Intel,ORGANIZATION,3
IDA,Nokia,ORGANIZATION,3
Apple,Microsoft,ORGANIZATION,3
Apple,Nokia,ORGANIZATION,3
IDA,Microsoft,ORGANIZATION,3
Apple,iPhone Lenovo LG,ORGANIZATION,3
IDA,Intel,ORGANIZATION,3
Nokia,iPhone Lenovo LG,ORGANIZATION,3
Microsoft,iPhone Lenovo LG,ORGANIZATION,3
HP,iPhone Lenovo LG,ORGANIZATION,3
Huawei,Intel,ORGANIZATION,2
Huawei,iPhone Lenovo LG,ORGANIZATION,2
Huawei,Nokia,ORGANIZATION,2
Huawei,Microsoft,ORGANIZATION,2
M1,MyRepublic,ORGANIZATION,2
Huawei,IDA,ORGANIZATION,2
HTC,Huawei,ORGANIZATION,2
Google,Huawei,ORGANIZATION,2
Apple,Huawei,ORGANIZATION,2
Circles.Life,M1,ORGANIZATION,2
MyRepublic,StarHub,ORGANIZATION,2
Dell,Huawei,ORGANIZATION,2
HP,Huawei,ORGANIZATION,2
