source,target,link_type,article_id
Allgreen,Allgreen Holdings,ORGANIZATION,frasers_00327
Allgreen,Frasers Centrepoint,ORGANIZATION,frasers_00327
Allgreen,Zouk,ORGANIZATION,frasers_00327
Allgreen Holdings,Frasers Centrepoint,ORGANIZATION,frasers_00327
Allgreen Holdings,Zouk,ORGANIZATION,frasers_00327
Analysts,Frasers Centrepoint,PERSON,frasers_00461
Analysts,HDB,PERSON,condo_00355|hdb_01323
Analysts,ROF,PERSON,hdb_01323
Artist,BTO,PERSON,condo_00351
Artist,City Developments Limited,PERSON,cdl_00854
Artist,HDB,PERSON,condo_00351
Artist,Our Tampines Hub,PERSON,cdl_00854
Artist,Tampines MRT,PERSON,cdl_00854
Ascendas Reit,Cache Logistics Trust,ORGANIZATION,frasers_00384
Ascendas Reit,CapitaLand Commercial Trust,ORGANIZATION,frasers_00384
Ascendas Reit,CapitaLand Mall Trust,ORGANIZATION,frasers_00384
Ascendas Reit,Frasers Centrepoint,ORGANIZATION,frasers_00384
BCA,Brownstone EC,ORGANIZATION,hdb_00554
BCA,City Developments Limited,ORGANIZATION,cdl_00254|cdl_00255|hdb_00554
BCA,Construction contractors,PERSON,cdl_00255
BCA,Dragages Singapore,ORGANIZATION,cdl_00254|cdl_00255
BCA,Firms,ORGANIZATION,cdl_00254
BCA,Teambuild,ORGANIZATION,cdl_00254|cdl_00255|hdb_00554
BT,City Developments Limited,ORGANIZATION,cdl_00003|cdl_00251|cdl_00633|cdl_00716|frasers_00410
BT,Frasers Centrepoint,ORGANIZATION,frasers_00035|frasers_00385
BT,Frasers Tower,ORGANIZATION,frasers_00035
BT,Kwek Leng Beng,PERSON,cdl_00716|frasers_00410
BT,Millennium & Copthorne,ORGANIZATION,cdl_00633
BT,People,PERSON,cdl_00251
BT,Public,PERSON,cdl_00251
BT,RETAIL,ORGANIZATION,frasers_00385
BT,Sherman Kwek,PERSON,cdl_00716|frasers_00410
BT,Singapore Sustainability Academy,ORGANIZATION,cdl_00251
BT,Sustainability Energy Association of Singapore,ORGANIZATION,cdl_00251
BT,THE Singapore Sustainability Academy,ORGANIZATION,cdl_00251
BTO,Blue,PERSON,hdb_00968
BTO,CPF,ORGANIZATION,hdb_01104
BTO,Gafoor,PERSON,hdb_01322
BTO,HDB,ORGANIZATION,condo_00351|hdb_00101|hdb_00202|hdb_00219|hdb_00401|hdb_00408|hdb_00410|hdb_00424|hdb_00602|hdb_00725|hdb_00904|hdb_00919|hdb_00933|hdb_01002|hdb_01104|hdb_01201|hdb_01206|hdb_01315
BTO,Housing Board,ORGANIZATION,hdb_01322
